Date,convexity,pnl
2010-06-09,0.0933529899266,15050.0
2010-06-10,0.0948590017455,15150.0
2010-06-11,0.173706956367,15580.0
2010-06-14,0.0898110445789,15160.0
2010-06-15,,15160.0
2010-06-16,,15160.0
2010-06-17,,15160.0
2010-06-18,,15160.0
2010-06-21,0.177967371698,15160.0
2010-06-22,0.151526433691,15060.0
2010-06-23,0.100396281742,14820.0
2010-06-24,0.0844327184922,14500.0
2010-06-25,0.0632060524832,14300.0
2010-06-28,0.0958131890326,14630.0
2010-06-29,0.0878312246233,14470.0
2010-06-30,0.0518246102147,14170.0
2010-07-01,0.0229153121785,14170.0
2010-07-02,0.01891578702,14170.0
2010-07-06,0.0254057431245,14480.0
2010-07-07,0.0213735426647,14500.0
2010-07-08,0.0203244433172,14530.0
2010-07-09,-0.0133096511362,14310.0
2010-07-12,-0.0233409994251,14330.0
2010-07-13,,14330.0
2010-07-14,,14330.0
2010-07-15,,14330.0
2010-07-16,,14330.0
2010-07-19,0.0199978759845,14330.0
2010-07-20,0.00833262144769,14100.0
2010-07-21,0.0249968991523,14510.0
2010-07-22,0.00166651708267,14150.0
2010-07-23,0.00666602072698,14230.0
2010-07-26,-0.00499945943024,14350.0
2010-07-27,-0.0133317608546,14450.0
2010-07-28,-0.00833209306177,14740.0
2010-07-29,-0.00333282208071,14780.0
2010-07-30,-0.0149978346353,14700.0
2010-08-02,0.0454484610265,14700.0
2010-08-03,0.0552160440629,14660.0
2010-08-04,0.051447657882,14700.0
2010-08-05,0.0525052963539,14710.0
2010-08-06,0.0428357662036,14940.0
2010-08-09,0.051180997347,15000.0
2010-08-10,0.0475283033382,15060.0
2010-08-11,0.0597570365745,15100.0
2010-08-12,0.0456619431284,14910.0
2010-08-13,,14910.0
2010-08-16,,14910.0
2010-08-17,,14910.0
2010-08-18,,14910.0
2010-08-19,0.114879772668,14910.0
2010-08-20,0.105562474793,14980.0
2010-08-23,0.094579023039,15050.0
2010-08-24,0.132584417845,15360.0
2010-08-25,0.129446324099,15380.0
2010-08-26,0.168806987408,15830.0
2010-08-27,0.258061457092,16100.0
2010-08-30,0.32669133663,16650.0
2010-08-31,0.502419254807,17600.0
2010-09-01,0.303715759235,17600.0
2010-09-02,0.218115541399,17230.0
2010-09-03,0.244675674544,17310.0
2010-09-07,0.351746176076,18030.0
2010-09-08,0.313134449495,17800.0
2010-09-09,0.282370338936,17550.0
2010-09-10,0.104210983365,16540.0
2010-09-13,0.0845038283314,16580.0
2010-09-14,,16580.0
2010-09-15,,16580.0
2010-09-16,,16580.0
2010-09-17,,16580.0
2010-09-20,0.447155891404,16580.0
2010-09-21,0.480060508998,16760.0
2010-09-22,0.448707957866,16630.0
2010-09-23,0.358239620704,16120.0
2010-09-24,0.272769847824,15600.0
2010-09-27,0.191971224701,15220.0
2010-09-28,0.277456385905,15740.0
2010-09-29,0.295559760709,15840.0
2010-09-30,0.196837252548,15280.0
2010-10-01,0.0805845806301,15280.0
2010-10-04,0.0496169613105,15100.0
2010-10-05,0.078440601581,15130.0
2010-10-06,0.0997219468597,15080.0
2010-10-07,0.0934948409532,15120.0
2010-10-08,0.066640036458,14920.0
2010-10-11,0.128088620748,15190.0
2010-10-12,0.118462349835,15300.0
2010-10-13,,15300.0
2010-10-14,,15300.0
2010-10-15,,15300.0
2010-10-18,,15300.0
2010-10-19,0.119328998347,15300.0
2010-10-20,0.133480603264,15050.0
2010-10-21,0.131292166867,15270.0
2010-10-22,0.133555438105,15210.0
2010-10-25,0.114080029914,14990.0
2010-10-26,0.0909485856519,14970.0
2010-10-27,0.113359630496,15230.0
2010-10-28,0.127859899803,15280.0
2010-10-29,0.117885929234,15110.0
2010-11-01,0.051227697885,15110.0
2010-11-02,0.0415126469092,15000.0
2010-11-03,0.0454617772629,15090.0
2010-11-04,0.0484457475584,14920.0
2010-11-05,0.0368632242119,14970.0
2010-11-08,0.0359296427501,15050.0
2010-11-09,0.0276970884966,15070.0
2010-11-10,0.0178988164799,14710.0
2010-11-11,0.0225484435065,14740.0
2010-11-12,,14740.0
2010-11-15,,14740.0
2010-11-16,,14740.0
2010-11-17,,14740.0
2010-11-18,0.133847337601,14740.0
2010-11-19,0.128840569181,14440.0
2010-11-22,0.130562384799,14430.0
2010-11-23,0.113289055862,14540.0
2010-11-24,0.118675598046,14470.0
2010-11-26,0.128729974602,14460.0
2010-11-29,0.116337657583,14290.0
2010-11-30,0.127055582488,14160.0
2010-12-01,0.0504978784323,14160.0
2010-12-02,0.057798583952,13900.0
2010-12-03,0.0752992375991,13600.0
2010-12-06,0.073799503905,13500.0
2010-12-07,0.0944960299377,14160.0
2010-12-08,0.0826453717018,14330.0
2010-12-09,0.0939953003525,14260.0
2010-12-10,0.0995943343501,14340.0
2010-12-13,,14340.0
2010-12-14,,14340.0
2010-12-15,,14340.0
2010-12-16,,14340.0
2010-12-17,0.227485149314,14340.0
2010-12-20,0.235999796222,14510.0
2010-12-21,0.25595440451,14470.0
2010-12-22,0.230775156497,14300.0
2010-12-23,0.200552114062,14090.0
2010-12-27,0.227549560667,14400.0
2010-12-28,0.229151626864,14340.0
2010-12-29,0.239279136301,14460.0
2010-12-30,0.242954238062,14780.0
2010-12-31,0.24290084382,14730.0
2011-01-03,0.159439215842,14730.0
2011-01-04,0.193229765959,15350.0
2011-01-05,0.195250531653,15670.0
2011-01-06,0.246003962236,16050.0
2011-01-07,0.196867917858,15560.0
2011-01-10,0.239998357239,15890.0
2011-01-11,0.225241255257,15670.0
2011-01-12,,15670.0
2011-01-13,,15670.0
2011-01-14,,15670.0
2011-01-18,,15670.0
2011-01-19,0.381948830455,15670.0
2011-01-20,0.45819383065,16360.0
2011-01-21,0.507690600681,17040.0
2011-01-24,0.556248742,17330.0
2011-01-25,0.548305430144,17640.0
2011-01-26,0.671735864406,18430.0
2011-01-27,0.89761507026,19890.0
2011-01-28,0.755475031661,18760.0
2011-01-31,0.694050764886,17770.0
2011-02-01,0.445399331666,17770.0
2011-02-02,0.489798468616,18220.0
2011-02-03,0.497203643296,18350.0
2011-02-04,0.497456202757,18430.0
2011-02-07,0.604689227615,19180.0
2011-02-08,0.711954055289,19970.0
2011-02-09,0.779274357136,20450.0
2011-02-10,0.753041114282,20020.0
2011-02-11,0.833681636189,20280.0
2011-02-14,,20280.0
2011-02-15,,20280.0
2011-02-16,,20280.0
2011-02-17,,20280.0
2011-02-18,0.859457231068,20280.0
2011-02-22,0.462565432611,17310.0
2011-02-23,0.642516726513,17310.0
2011-02-24,0.491088620892,17140.0
2011-02-25,0.478795590721,17260.0
2011-02-28,0.548636249689,17630.0
2011-03-01,0.175706180615,17630.0
2011-03-02,0.133399392709,17080.0
2011-03-03,0.155041830568,17350.0
2011-03-04,0.185513455201,16710.0
2011-03-07,0.184680586922,16780.0
2011-03-08,0.177609247567,16750.0
2011-03-09,0.175087617608,17370.0
2011-03-10,0.133685854805,17200.0
2011-03-11,0.120164358656,17400.0
2011-03-14,0.116260213114,17440.0
2011-03-15,,17440.0
2011-03-16,,17440.0
2011-03-17,,17440.0
2011-03-18,,17440.0
2011-03-21,0.208782643981,17440.0
2011-03-22,0.193160700584,17120.0
2011-03-23,0.184626976065,16670.0
2011-03-24,0.182276546228,16880.0
2011-03-25,0.178324417335,17070.0
2011-03-28,0.17920880869,17310.0
2011-03-29,0.17309660135,17140.0
2011-03-30,0.158688707684,17470.0
2011-03-31,0.174860926983,17110.0
2011-04-01,0.107297876523,17110.0
2011-04-04,0.101361500212,17340.0
2011-04-05,0.122545573524,17540.0
2011-04-06,0.12974896195,17490.0
2011-04-07,0.119605145589,17280.0
2011-04-08,0.138011879685,17180.0
2011-04-11,0.157665854891,17510.0
2011-04-12,,17510.0
2011-04-13,,17510.0
2011-04-14,,17510.0
2011-04-15,,17510.0
2011-04-18,0.169059712861,17510.0
2011-04-19,0.165944646841,17460.0
2011-04-20,0.193003627188,17370.0
2011-04-21,0.203090765149,17350.0
2011-04-25,0.218439710862,17270.0
2011-04-26,0.206031214214,17440.0
2011-04-27,0.222653926853,17450.0
2011-04-28,0.216292958468,17380.0
2011-04-29,0.224626163203,17380.0
2011-05-02,0.109718575116,17380.0
2011-05-03,0.106660544717,17450.0
2011-05-04,0.0845777611305,17550.0
2011-05-05,0.0914864023242,17660.0
2011-05-06,0.0972701548729,17920.0
2011-05-09,0.100311689642,17870.0
2011-05-10,0.100178465157,18030.0
2011-05-11,0.0943284649883,17850.0
2011-05-12,0.0912203879134,17980.0
2011-05-13,,17980.0
2011-05-16,,17980.0
2011-05-17,,17980.0
2011-05-18,,17980.0
2011-05-19,0.0988293308265,17980.0
2011-05-20,0.104129659704,17890.0
2011-05-23,0.099761202341,18200.0
2011-05-24,0.119593025538,18250.0
2011-05-25,0.134592150815,18250.0
2011-05-26,0.143287136258,18640.0
2011-05-27,0.126755735442,18600.0
2011-05-31,0.145422033188,18500.0
2011-06-01,0.0610867027188,18500.0
2011-06-02,0.0429050534935,18740.0
2011-06-03,0.0301786980294,18820.0
2011-06-06,0.0374508058045,18790.0
2011-06-07,0.0414498568834,18900.0
2011-06-08,0.0472684910228,18700.0
2011-06-09,0.0692680909462,18480.0
2011-06-10,0.0681747696447,18820.0
2011-06-13,0.0514494079741,18790.0
2011-06-14,,18790.0
